1	552255.505	74993.768	3496
2	552149.893	74171.354	3496
3	552032.350	74184.846	3496
4	552927.944	74082.047	3496
5	552969.003	74083.003	3496
101	552189.405	74400.506	5216
102	552169.539	74402.855	5216
103	552170.079	74407.058	5216
104	552189.939	74404.665	5216
105	552586.960	74110.895	5216
106	552589.624	74130.716	5216
107	552141.240	74182.490	5216
108	552129.221	74183.861	5216
109	552126.687	74163.414	5216
110	552161.040	74179.620	5216
111	552234.788	74753.916	5216
112	552214.901	74756.090	5216
113	552927.490	74072.040	5216
114	552969.230	74073.000	5216
115	552968.770	74093.000	5216
116	552928.400	74092.060	5216
10824	552840.620	73740.150	3325
10836	552541.430	73772.210	3325
11109	553140.760	74656.590	3325
11114	552944.840	74677.170	3315
11125	552125.310	74152.300	3315
11128	552667.000	74706.390	3325
11129	552712.960	74701.300	3315
11135	552493.080	74725.670	3315
11136	552579.400	74054.650	3325
11137	552578.570	74048.520	3325
11138	552418.310	74089.190	3315
11141	552851.300	73823.990	3315
11143	553026.080	73803.370	3325
11145	553052.510	74000.000	3315
11171	552301.110	74391.270	3315
11172	552293.120	74388.240	3315
11173	552157.860	74408.530	3315
11174	552157.070	74404.330	3315
11177	552147.510	74331.460	3315
11185	552745.170	74012.800	3315
11186	552746.550	74018.810	3315
11187	552406.560	74378.070	3315
11188	552405.970	74374.670	3315
11189	552200.640	74716.430	3315
11190	552203.140	74734.410	3315
11191	552201.370	74757.570	3315
