1	545865.844	76140.262	3496
2	545826.797	76240.694	3496
3	545836.632	76244.547	3496
4	545941.296	76285.681	3496
5	545347.266	76054.251	3496
101	545856.618	76193.240	5216
102	545837.394	76185.841	5216
103	545639.938	76178.767	5216
104	545645.340	76159.413	5216
105	545823.720	76250.220	5216
106	545851.667	76261.086	5216
107	545853.692	76240.507	5216
108	545840.290	76235.240	5216
109	545821.100	76227.750	5216
110	545387.535	76059.177	5216
111	545382.133	76078.535	5216
141	545808.420	76174.690	3325
142	545858.280	76193.880	4315
180	545400.160	76013.940	3325
181	545420.620	76022.330	3325
184	545588.130	76089.060	3325
185	545550.950	76073.580	3315
186	545586.090	76114.870	3325
220	545767.200	76185.420	3315
221	545650.730	76140.100	3325
222	545732.880	76172.160	3325
223	545748.810	76178.380	3315
226	545240.610	76585.640	3325
235	545550.400	76499.580	3315
699	545568.700	76864.010	3325
771	545790.120	76886.600	4315
822	545521.270	76603.990	3325
823	545594.960	76608.810	3325
2047	545368.110	76011.120	136
2049	545398.100	76021.030	137
2051	545445.860	76038.360	136
2053	545580.310	76090.150	137
2055	545581.600	76099.750	136
2057	545580.800	76121.930	137
2060	545611.710	76134.100	138
2062	545746.460	76191.040	136
2064	545771.510	76191.820	137
2066	545821.530	76192.480	136
2068	545856.310	76202.690	137
2069	545882.930	76211.730	136
2070	545789.580	76894.600	137
2071	545570.590	76870.650	137
2074	545571.390	76860.620	137
2075	545176.580	76822.400	137
20047	545368.100	76011.120	1
20049	545398.080	76021.040	1
20075	545176.590	76822.430	1
