1	545867.196	75059.407	3496
2	546114.656	74649.052	3496
10	545885.400	74578.190	3325
17	545816.060	74676.140	3315
18	545869.960	74603.570	3325
19	545843.110	74638.940	3325
28	545712.820	74818.680	3325
29	545665.190	74877.800	3325
33	545908.420	75027.540	3325
101	545883.855	75012.417	5216
102	545901.403	75023.220	5216
103	546100.446	74693.156	5216
104	546082.897	74682.352	5216
446	546024.830	74838.460	3325
1001	546110.670	74699.450	3325
1003	545890.050	74563.630	3325
2000	545889.560	74568.130	13
2001	545865.170	74617.230	13
2002	545838.630	74646.000	13
2003	545806.320	74687.830	13
2004	545708.340	74834.870	13
2005	545667.210	74873.020	13
2006	545907.720	75028.050	13
2007	546109.380	74701.180	13
10707	545957.090	74604.902	4415
20000	545889.540	74568.120	13
20006	545907.730	75028.030	13
20007	546109.390	74701.200	13
