1	552732.294	74679.091	3496
2	552139.653	74743.089	3496
101	552665.650	74696.346	5216
102	552202.224	74746.390	5216
103	552203.140	74734.410	5216
104	552202.012	74726.299	5216
105	552662.985	74676.516	5216
11125	552125.310	74152.300	3315
11128	552667.000	74706.390	3325
11135	552493.080	74725.670	3315
11136	552579.400	74054.650	3325
11138	552418.310	74089.190	3315
11171	552301.110	74391.270	3315
11172	552293.120	74388.240	3315
11173	552157.860	74408.530	3315
11174	552157.070	74404.330	3315
11177	552147.510	74331.460	3315
11187	552406.560	74378.070	3315
11188	552405.970	74374.670	3315
11189	552200.640	74716.430	3315
11191	552201.370	74757.570	3315
50291	552377.760	74396.560	3516
50293	552328.550	74400.980	3516
50294	552245.780	74572.940	3516
50295	552331.080	74484.020	3516
