1	546317.114	74232.229	3496
2	546437.534	73945.252	3496
101	546446.031	73952.392	5216
102	546427.220	73943.989	5216
103	546335.929	74161.553	5216
104	546349.001	74183.638	5216
137	546258.270	74032.650	3325
138	546340.280	74168.700	3325
139	546375.650	74157.430	3315
141	546300.270	74102.990	3325
143	546354.670	73911.580	3315
170	546433.470	74003.020	3315
176	546451.510	73954.840	3325
337	546359.260	74201.210	3325
2000	546347.900	74182.010	13
2001	546360.020	74178.240	13
2002	546443.420	73951.800	13
2003	546253.730	73870.650	13
2004	546203.270	73927.710	13
13701	546230.579	73986.850	3325
14301	546272.508	73874.870	3325
20000	546347.910	74182.000	13
20001	546360.040	74178.240	13
20004	546203.260	73927.680	13
